Date,Price,Market_cap,Volume
2023-06-13 00:00:00 UTC,0.978861967,1247627484,216765381.4
2023-06-14 00:00:00 UTC,0.993330468,1266108008,255413426.7
2023-06-15 00:00:00 UTC,0.944833714,1203759321,192306886.1
2023-06-16 00:00:00 UTC,0.950130258,1211182322,175944336.9
2023-06-17 00:00:00 UTC,0.974960816,1243447078,139894336.6
2023-06-18 00:00:00 UTC,0.992323974,1267919759,118922485.6
2023-06-19 00:00:00 UTC,0.992596929,1265458094,119155267
2023-06-20 00:00:00 UTC,1.00515248,1282901921,102472218.9
2023-06-21 00:00:00 UTC,1.085137829,1381774477,213119716.6
2023-06-22 00:00:00 UTC,1.142881132,1457524677,316667867.9
2023-06-23 00:00:00 UTC,1.089932073,1390669406,263055202.7
2023-06-24 00:00:00 UTC,1.131926832,1441778301,234045225.2
2023-06-25 00:00:00 UTC,1.078626533,1373924240,158458194.7
2023-06-26 00:00:00 UTC,1.109798556,1412675283,180564701.3
2023-06-27 00:00:00 UTC,1.142696537,1455334331,344597689.6
2023-06-28 00:00:00 UTC,1.205029548,1534251244,351773227.2
2023-06-29 00:00:00 UTC,1.124555498,1434878118,282150473.3
2023-06-30 00:00:00 UTC,1.132054764,1443522308,192038985.1
2023-07-01 00:00:00 UTC,1.157806487,1474509658,434113675.7
2023-07-02 00:00:00 UTC,1.151431191,1463453768,138217325.8
2023-07-03 00:00:00 UTC,1.148859306,1464084371,132217011.1
2023-07-04 00:00:00 UTC,1.166513921,1487522654,169151101.8
2023-07-05 00:00:00 UTC,1.152734141,1472882298,157715672.2
2023-07-06 00:00:00 UTC,1.111190864,1417399086,144949360.6
2023-07-07 00:00:00 UTC,1.076040483,1376430514,174010565.9
2023-07-08 00:00:00 UTC,1.129942644,1440081792,185628418.5
2023-07-09 00:00:00 UTC,1.124470597,1432851935,110780912.5
2023-07-10 00:00:00 UTC,1.123198525,1432212750,109803067.6
2023-07-11 00:00:00 UTC,1.121703903,1429994082,132071587.5
2023-07-12 00:00:00 UTC,1.126326575,1436354922,93050486.98
2023-07-13 00:00:00 UTC,1.122840622,1432014243,123444969.2
2023-07-14 00:00:00 UTC,1.222315774,1556962867,300447579.4
2023-07-15 00:00:00 UTC,1.211931748,1544068674,571894014.3
2023-07-16 00:00:00 UTC,1.267247928,1613874134,380500133
2023-07-17 00:00:00 UTC,1.27226054,1618953590,245573940.1
2023-07-18 00:00:00 UTC,1.301183118,1658437916,407058062.2
2023-07-19 00:00:00 UTC,1.242011253,1581964892,311841522.6
2023-07-20 00:00:00 UTC,1.267848843,1616327465,221675180.8
